idx,senetnce,Option A,Option B,gold_ans,gold_scope_label,OP1,OP1_type,OP2,OP2_type
5,এজন চিত্রকাৰ প্ৰদৰ্শনীটোৰ বাবে দহটা ভিন্ন চিত্ৰ আঁকে।,দহটা চিত্ৰ একেই চিত্রকাৰেই আঁকে।,সকলো দহখন চিত্ৰ বিভিন্ন চিত্ৰশিল্পীৰ দ্বাৰা অংকন কৰা হৈছে,A,inverse,এজন ,indefinite,দহটা,number
5,এজন চিত্রকাৰ প্ৰদৰ্শনীটোৰ বাবে দহটা ভিন্ন চিত্ৰ আঁকে।,সকলো দহখন চিত্ৰ বিভিন্ন চিত্ৰশিল্পীৰ দ্বাৰা অংকন কৰা হৈছে,দহটা চিত্ৰ একেই চিত্রকাৰেই আঁকে।,B,inverse,এজন ,indefinite,দহটা,number
6,এজন লেখকে ঠিক চাৰি উপন্যাস লিখে।,চাৰিখন উপন্যাস একেজন লেখকে লিখিছে,প্ৰত্যেক উপন্যাস ভিন্ন লেখকে লিখে।,A,inverse,এজন ,indefinite,ঠিক  চাৰি,number
6,এজন লেখকে ঠিক চাৰি উপন্যাস লিখে।,প্ৰত্যেক উপন্যাস ভিন্ন লেখকে লিখে।,চাৰিখন উপন্যাস একেজন লেখকে লিখিছে,B,inverse,এজন ,indefinite,ঠিক  চাৰি,number
7,এজন বিজ্ঞানীয়ে ছয়টা ভিন্ন পৰীক্ষা সম্পাদন কৰে।,প্ৰত্যেক পৰীক্ষা ভিন্ন বিজ্ঞানীয়ে সম্পাদন কৰে।,প্ৰতিজন বিজ্ঞানিয়ে বিভিন্ন পৰীক্ষা-নিৰীক্ষা চলাই আছে,B,surface,এজন ,indefinite,ছয়টা,number
7,এজন বিজ্ঞানীয়ে ছয়টা ভিন্ন পৰীক্ষা সম্পাদন কৰে।,প্ৰতিজন বিজ্ঞানিয়ে বিভিন্ন পৰীক্ষা-নিৰীক্ষা চলাই আছে,প্ৰত্যেক পৰীক্ষা ভিন্ন বিজ্ঞানীয়ে সম্পাদন কৰে।,A,surface,এজন ,indefinite,ছয়টা,number
8,এজন ফটোগ্ৰাফীয়ে পাঁচটা ভিন্ন ছবি তোলে।,প্ৰতিজন ফটোগ্ৰাফাৰে বেলেগ বেলেগ ফটো তোলে,প্ৰত্যেক ছবি ভিন্ন ফটোগ্ৰাফীয়ে তোলা হয়।,A,surface,এজন ,indefinite,পাঁচটা,number
8,এজন ফটোগ্ৰাফীয়ে পাঁচটা ভিন্ন ছবি তোলে।,প্ৰত্যেক ছবি ভিন্ন ফটোগ্ৰাফীয়ে তোলা হয়।,প্ৰতিজন ফটোগ্ৰাফাৰে বেলেগ বেলেগ ফটো তোলে,B,surface,এজন ,indefinite,পাঁচটা,number
9,এজন পৰিচালকে ঠিক তিনিটা চিনেমা নিৰ্দেশনা কৰে।,তিনিখন বেলেগ বেলেগ চিনেমা প্ৰতিজন পৰিচালকে পৰিচালনা কৰে,প্ৰত্যেক চিনেমা ভিন্ন পৰিচালকে নিৰ্দেশনা কৰে।,A,surface,এজন ,indefinite,ঠিক  তিনিটা,number
9,এজন পৰিচালকে ঠিক তিনিটা চিনেমা নিৰ্দেশনা কৰে।,প্ৰত্যেক চিনেমা ভিন্ন পৰিচালকে নিৰ্দেশনা কৰে।,তিনিখন বেলেগ বেলেগ চিনেমা প্ৰতিজন পৰিচালকে পৰিচালনা কৰে,B,surface,এজন ,indefinite,ঠিক  তিনিটা,number
10,"এখন বিদ্যালয়ত ঠিক চাৰি বিজ্ঞানৰ শিক্ষক আছে - শ্ৰীযুত গোপাল, শ্ৰীমতী শইকীয়া, শ্ৰীমতী তালুকদাৰ, আৰু ড. শিৱ।",চাৰিওজন বিজ্ঞান শিক্ষকে একেখন বিদ্যালয়তে কাম কৰে,সকল চাৰি বিজ্ঞানৰ শিক্ষক একেটা বিদ্যালয়তে কাম নকৰে।,A,inverse,এজন ,indefinite, ঠিক চাৰি,number
10,"এখন বিদ্যালয়ত ঠিক চাৰি বিজ্ঞানৰ শিক্ষক আছে - শ্ৰীযুত গোপাল, শ্ৰীমতী শইকীয়া, শ্ৰীমতী তালুকদাৰ, আৰু ড. শিৱ।",সকল চাৰি বিজ্ঞানৰ শিক্ষক একেটা বিদ্যালয়তে কাম নকৰে।,চাৰিওজন বিজ্ঞান শিক্ষকে একেখন বিদ্যালয়তে কাম কৰে,B,inverse,এজন ,indefinite, ঠিক চাৰি,number
11,এজন মালীয়ে ঠিক সাত ধৰণৰ ফুল উদ্যানত ৰোপণ কৰে।,একেজন মালীয়ে সাত প্ৰকাৰৰ ফুল ৰোপণ কৰে,সকল ফুল একে মালীয়ে ৰোপণ কৰিছে।,A,inverse,এজন ,indefinite,ঠিক সাত,number
11,এজন মালীয়ে ঠিক সাত ধৰণৰ ফুল উদ্যানত ৰোপণ কৰে।,সকল ফুল একে মালীয়ে ৰোপণ কৰিছে।,একেজন মালীয়ে সাত প্ৰকাৰৰ ফুল ৰোপণ কৰে,B,inverse,এজন ,indefinite,ঠিক সাত,number
12,এখন চহৰত ঠিক দুইখন হাস্পতাল আছে -মাৰ্চি হস্পিটেল আৰু গ্ৰেছ হস্পিটেল।,দুয়োখন চিকিৎসালয় একেখন চহৰতে আছে,উভয়খন হাস্পতাল একে চহৰত নাথাকে।,A,inverse,এজন ,indefinite,ঠিক  দুইখন,number
12,এখন চহৰত ঠিক দুইখন হাস্পতাল আছে -মাৰ্চি হস্পিটেল আৰু গ্ৰেছ হস্পিটেল।,উভয়খন হাস্পতাল একে চহৰত নাথাকে।,দুয়োখন চিকিৎসালয় একেখন চহৰতে আছে,B,inverse,এজন ,indefinite,ঠিক  দুইখন,number
13,এজন ৰান্ধনীয়ে ডিনাৰ পাৰ্টিৰ বাবে ঠিক পাঁচটা ব্যঞ্জন প্ৰস্তুত কৰে।,সকলো ব্যঞ্জন একেজন ৰান্ধনীৰ দ্বাৰা প্ৰস্তুত কৰা নহয়,সকলো ব্যঞ্জন একেজন ৰান্ধনীৰ দ্বাৰা প্ৰস্তুত কৰা হয়,B,inverse,এজন ,indefinite,ঠিক পাৰ্টিৰ,number
13,এজন ৰান্ধনীয়ে ডিনাৰ পাৰ্টিৰ বাবে ঠিক পাঁচটা ব্যঞ্জন প্ৰস্তুত কৰে।,সকলো ব্যঞ্জন একেজন ৰান্ধনীৰ দ্বাৰা প্ৰস্তুত কৰা হয়,সকলো ব্যঞ্জন একেজন ৰান্ধনীৰ দ্বাৰা প্ৰস্তুত কৰা নহয়,A,inverse,এজন ,indefinite,ঠিক পাৰ্টিৰ,number
14,এটা বেণ্ডে এটা সংগীতানুষ্ঠানত ঠিক তিনিটা গান বজায়।,সকলো গান একেটা বেণ্ডে বজোৱা নহয়,একেটা বেণ্ডে মাত্ৰ তিনিটা গান বজায়,B,inverse,এটা,indefinite,ঠিক তিনিটা ,number
14,এটা বেণ্ডে এটা সংগীতানুষ্ঠানত ঠিক তিনিটা গান বজায়।,একেটা বেণ্ডে মাত্ৰ তিনিটা গান বজায়,সকলো গান একেটা বেণ্ডে বজোৱা নহয়,A,inverse,এটা,indefinite,ঠিক তিনিটা ,number
15,কোম্পানী এটাৰ ঠিক দুটা শাখা আছে - মুখ্য শাখা আৰু উপ শাখা।,দুয়োটা শাখা একেটা কোম্পানীৰ,দুয়োটা শাখা বেলেগ বেলেগ কোম্পানীৰ,A,inverse,এটা,indefinite,ঠিক দুটা,number
15,কোম্পানী এটাৰ ঠিক দুটা শাখা আছে - মুখ্য শাখা আৰু উপ শাখা।,দুয়োটা শাখা বেলেগ বেলেগ কোম্পানীৰ,দুয়োটা শাখা একেটা কোম্পানীৰ,B,inverse,এটা,indefinite,ঠিক দুটা,number
16,"এজন পাইলটে ঠিক পাঁচখন বিমান উৰুৱায়: এ, বি, চি, ডি, আৰু ই।",সকলো বিমান একেজন পাইলটে উৰুৱায়,সকলো বিমান একেপাইলটে উৰোৱা নহয়,A,inverse,এজন ,indefinite,ঠিক পাঁচখন,number
16,"এজন পাইলটে ঠিক পাঁচখন বিমান উৰুৱায়: এ, বি, চি, ডি, আৰু ই।",সকলো বিমান একেপাইলটে উৰোৱা নহয়,সকলো বিমান একেজন পাইলটে উৰুৱায়,B,inverse,এজন ,indefinite,ঠিক পাঁচখন,number
17,"এজন শিক্ষকে পাঁচটা বিষয় শিকায় - গণিত, ইংৰাজী, বিজ্ঞান, ইতিহাস, আৰু ভূগোল।",পাঁচটা বিষয় একেজন শিক্ষকে শিকাইছে,সকলো বোৰ বিষয় একেজন শিক্ষকে শিকোৱা নহয়,A,inverse,এজন ,indefinite,পাঁচটা,number
17,"এজন শিক্ষকে পাঁচটা বিষয় শিকায় - গণিত, ইংৰাজী, বিজ্ঞান, ইতিহাস, আৰু ভূগোল।",সকলো বোৰ বিষয় একেজন শিক্ষকে শিকোৱা নহয়,পাঁচটা বিষয় একেজন শিক্ষকে শিকাইছে,B,inverse,এজন ,indefinite,পাঁচটা,number
18,"ৰেষ্টুৰেণ্ট এখনে চাৰি প্ৰকাৰৰ পাস্তা পৰিৱেশন কৰে - স্পেগেটি, লাচাগনা, ফেটুচিন, আৰু ৰাভিওলি।",চাৰি প্ৰকাৰৰ পাস্তা সকলোবোৰ একেখন ৰেষ্টুৰেণ্টৰ দ্বাৰা পৰিৱেশন কৰা নহয়,চাৰি প্ৰকাৰৰ পাস্তা সকলোবোৰ একেখন ৰেষ্টুৰেণ্টৰ দ্বাৰা পৰিৱেশন কৰা হয়,B,inverse,এখনে ,indefinite,চাৰি,number
18,"ৰেষ্টুৰেণ্ট এখনে চাৰি প্ৰকাৰৰ পাস্তা পৰিৱেশন কৰে - স্পেগেটি, লাচাগনা, ফেটুচিন, আৰু ৰাভিওলি।",চাৰি প্ৰকাৰৰ পাস্তা সকলোবোৰ একেখন ৰেষ্টুৰেণ্টৰ দ্বাৰা পৰিৱেশন কৰা হয়,চাৰি প্ৰকাৰৰ পাস্তা সকলোবোৰ একেখন ৰেষ্টুৰেণ্টৰ দ্বাৰা পৰিৱেশন কৰা নহয়,A,inverse,এখনে ,indefinite,চাৰি,number
19,"এজন মালীয়ে ছয়টা পৃথক বাগিচা ৰক্ষণাবেক্ষণ কৰে - এ, বি, চি, ডি, ই, আৰু এফ।",সকলো বোৰ বাগিচা একেজন মালিৰ দ্বাৰা ৰক্ষণাবেক্ষণ কৰা নহয়,সকলো বোৰ বাগিচা একেজন মালীয়ে ৰক্ষণাবেক্ষণ কৰে,B,inverse,এজন ,indefinite,ছয়টা,number
19,"এজন মালীয়ে ছয়টা পৃথক বাগিচা ৰক্ষণাবেক্ষণ কৰে - এ, বি, চি, ডি, ই, আৰু এফ।",সকলো বোৰ বাগিচা একেজন মালীয়ে ৰক্ষণাবেক্ষণ কৰে,সকলো বোৰ বাগিচা একেজন মালিৰ দ্বাৰা ৰক্ষণাবেক্ষণ কৰা নহয়,A,inverse,এজন ,indefinite,ছয়টা,number
20,এখন পুথিভঁৰালত ঠিক দুটা শাখা আছে - কল্পকাহিনী আৰু অ-কল্পকাহিনী।,এটা শাখা একেটা পুথিভঁৰালত আছে,দুয়োটা শাখা একেটা লাইব্ৰেৰীত আছে,B,inverse,এখন,indefinite,ঠিক দুটা,number
20,এখন পুথিভঁৰালত ঠিক দুটা শাখা আছে - কল্পকাহিনী আৰু অ-কল্পকাহিনী।,দুয়োটা শাখা একেটা লাইব্ৰেৰীত আছে,এটা শাখা একেটা পুথিভঁৰালত আছে,A,inverse,এখন,indefinite,ঠিক দুটা,number
21,"এটা জিমে পাঁচটা পৃথক শ্ৰেণী প্ৰদান কৰে - যোগ, পাইলেট, স্পিনিং, জুম্বা, আৰু কিকবক্সিং।",সকলো শ্ৰেণী একেটা জিমৰ দ্বাৰা আগবঢ়োৱা নহয়,একেটা জিমৰ দ্বাৰা পাঁচটা শ্ৰেণী আগবঢ়োৱা হয়,B,surface,এটা ,indefinite,পাঁচটা,number
21,"এটা জিমে পাঁচটা পৃথক শ্ৰেণী প্ৰদান কৰে - যোগ, পাইলেট, স্পিনিং, জুম্বা, আৰু কিকবক্সিং।",একেটা জিমৰ দ্বাৰা পাঁচটা শ্ৰেণী আগবঢ়োৱা হয়,সকলো শ্ৰেণী একেটা জিমৰ দ্বাৰা আগবঢ়োৱা নহয়,A,surface,এটা ,indefinite,পাঁচটা,number
22,এটা সংগ্ৰহালয়ত ঠিক সাতটা পৃথক প্ৰদৰ্শনী প্ৰদৰ্শন কৰা হৈছে।,সকলো প্ৰদৰ্শনী একেটা সংগ্ৰহালয়ত প্ৰদৰ্শিত নহয়,সকলো প্ৰদৰ্শনী একেটা সংগ্ৰহালয়ত প্ৰদৰ্শিত হয়,B,inverse,এটা ,indefinite,ঠিক সাতটা,number
22,এটা সংগ্ৰহালয়ত ঠিক সাতটা পৃথক প্ৰদৰ্শনী প্ৰদৰ্শন কৰা হৈছে।,সকলো প্ৰদৰ্শনী একেটা সংগ্ৰহালয়ত প্ৰদৰ্শিত হয়,সকলো প্ৰদৰ্শনী একেটা সংগ্ৰহালয়ত প্ৰদৰ্শিত নহয়,A,inverse,এটা ,indefinite,ঠিক সাতটা,number
23,"এজন ৰান্ধনীয়ে চাৰিটা বেলেগ বেলেগ ব্যঞ্জন ৰান্ধে - ষ্টিক, চিকেন, মাছ, আৰু নিৰামিষ।",সকলো বোৰ ব্যঞ্জন একেজন ৰান্ধনীৰ দ্বাৰা ৰন্ধা নহয়,একেজন ৰান্ধনীৰ দ্বাৰা মাত্ৰ চাৰিটা ব্যঞ্জন ৰন্ধা হয়,B,inverse,এজন ,indefinite,চাৰিটা,number
23,"এজন ৰান্ধনীয়ে চাৰিটা বেলেগ বেলেগ ব্যঞ্জন ৰান্ধে - ষ্টিক, চিকেন, মাছ, আৰু নিৰামিষ।",একেজন ৰান্ধনীৰ দ্বাৰা মাত্ৰ চাৰিটা ব্যঞ্জন ৰন্ধা হয়,সকলো বোৰ ব্যঞ্জন একেজন ৰান্ধনীৰ দ্বাৰা ৰন্ধা নহয়,A,inverse,এজন ,indefinite,চাৰিটা,number
24,কোম্পানী এটাই ঠিক দুই প্ৰকাৰৰ সামগ্ৰী প্ৰস্তুত কৰে - এ আৰু বি।,দুয়োটা সামগ্ৰী একেটা কোম্পানীৰ দ্বাৰা প্ৰস্তুত কৰা নহয়,দুয়োটা সামগ্ৰী একেটা কোম্পানীৰ দ্বাৰা প্ৰস্তুত কৰা হয়,B,inverse,এটাই ,indefinite,ঠিক দুই ,number
24,কোম্পানী এটাই ঠিক দুই প্ৰকাৰৰ সামগ্ৰী প্ৰস্তুত কৰে - এ আৰু বি।,দুয়োটা সামগ্ৰী একেটা কোম্পানীৰ দ্বাৰা প্ৰস্তুত কৰা হয়,দুয়োটা সামগ্ৰী একেটা কোম্পানীৰ দ্বাৰা প্ৰস্তুত কৰা নহয়,A,inverse,এটাই ,indefinite,ঠিক দুই ,number
25,"এখন বেকাৰীয়ে ঠিক ছয় প্ৰকাৰৰ ব্ৰেড প্ৰস্তুত কৰে - ৰাই, জামন, বাগুয়েট, চিয়াবাট্টা, ফকাচিয়া, আৰু পাম্পাৰনিকেল।",ছয় প্ৰকাৰৰ পিঠাৰ সকলোবোৰ একেখন বেকাৰীৰ দ্বাৰা তৈয়াৰ কৰা হয়,ছয় প্ৰকাৰৰ পিঠাৰ সকলোবোৰ একেখন বেকাৰীৰ দ্বাৰা তৈয়াৰ কৰা নহয়,A,inverse,এখন,indefinite,ঠিক ছয়,number
25,"এখন বেকাৰীয়ে ঠিক ছয় প্ৰকাৰৰ ব্ৰেড প্ৰস্তুত কৰে - ৰাই, জামন, বাগুয়েট, চিয়াবাট্টা, ফকাচিয়া, আৰু পাম্পাৰনিকেল।",ছয় প্ৰকাৰৰ পিঠাৰ সকলোবোৰ একেখন বেকাৰীৰ দ্বাৰা তৈয়াৰ কৰা নহয়,ছয় প্ৰকাৰৰ পিঠাৰ সকলোবোৰ একেখন বেকাৰীৰ দ্বাৰা তৈয়াৰ কৰা হয়,B,inverse,এখন,indefinite,ঠিক ছয়,number
26,"এখন পুথিভঁৰালত ঠিক তিনিটা শাখা আছে - কল্পকাহিনী, নন-ফিকচন, আৰু ৰেফাৰেন্স।",তিনিওটা শাখাই বিভিন্ন পুথিভঁৰালত আছে,তিনিওটা শাখা একেটা পুথিভঁৰালত আছে,B,inverse,এখন,indefinite,ঠিক তিনিটা,number
26,"এখন পুথিভঁৰালত ঠিক তিনিটা শাখা আছে - কল্পকাহিনী, নন-ফিকচন, আৰু ৰেফাৰেন্স।",তিনিওটা শাখা একেটা পুথিভঁৰালত আছে,তিনিওটা শাখাই বিভিন্ন পুথিভঁৰালত আছে,A,inverse,এখন,indefinite,ঠিক তিনিটা,number
27,"এখন চিকিৎসালয়ত সাতটা বিভাগ আছে - কাৰ্ডিঅ'লজী, নিউৰোলজী, পেডিয়াট্ৰিক্স, অংক'লজী, অৰ্থোপেডিকচ, ৰেডিঅ'লজী, আৰু ইউৰোলজী।",সাতটা বিভাগৰ সকলোবোৰ একেখন চিকিৎসালয়ত নাই,একেখন চিকিৎসালয়তে মাত্ৰ সাতটা বিভাগ আছে,B,surface,এখন,indefinite,সাতটা ,number
27,"এখন চিকিৎসালয়ত সাতটা বিভাগ আছে - কাৰ্ডিঅ'লজী, নিউৰোলজী, পেডিয়াট্ৰিক্স, অংক'লজী, অৰ্থোপেডিকচ, ৰেডিঅ'লজী, আৰু ইউৰোলজী।",একেখন চিকিৎসালয়তে মাত্ৰ সাতটা বিভাগ আছে,সাতটা বিভাগৰ সকলোবোৰ একেখন চিকিৎসালয়ত নাই,A,surface,এখন,indefinite,সাতটা ,number
28,"এখন চিৰিয়াখানাত ঠিক আঠটা প্ৰজাতিৰ চৰাই আছে - চৰাই, ঈগল, তোতা, পেংগুইন, ফ্লেমিংগো, ময়ূৰ, ফেঁচা, আৰু কপৌ।",আঠটা প্ৰজাতিৰ চৰাইৰ সকলোবোৰ একেখন চিৰিয়াখানাৰ দ্বাৰা ৰখা নহয়,একেখন চিৰিয়াখানাৰ দ্বাৰা কেৱল আঠটা প্ৰজাতিৰ চৰাই ৰখা হয়,B,surface,এখন,indefinite,ঠিক আঠটা,number
28,"এখন চিৰিয়াখানাত ঠিক আঠটা প্ৰজাতিৰ চৰাই আছে - চৰাই, ঈগল, তোতা, পেংগুইন, ফ্লেমিংগো, ময়ূৰ, ফেঁচা, আৰু কপৌ।",একেখন চিৰিয়াখানাৰ দ্বাৰা কেৱল আঠটা প্ৰজাতিৰ চৰাই ৰখা হয়,আঠটা প্ৰজাতিৰ চৰাইৰ সকলোবোৰ একেখন চিৰিয়াখানাৰ দ্বাৰা ৰখা নহয়,A,surface,এখন,indefinite,ঠিক আঠটা,number
29,"এখন ৰেষ্টুৰেণ্টে ছয় প্ৰকাৰৰ পাস্তা পৰিৱেশন কৰে - স্পেগেটি, ফেটুচিন, পেনে, লাচাগনা, ৰাভিওলি, আৰু মেকাৰোনি।",ছয় প্ৰকাৰৰ পাস্তাৰ সকলোবোৰ একেখন ৰেষ্টুৰেণ্টৰ দ্বাৰা পৰিৱেশন কৰা হয়,ছয় প্ৰকাৰৰ পাস্তাৰ সকলোবোৰ একেখন ৰেষ্টুৰেণ্টৰ দ্বাৰা পৰিৱেশন কৰা নহয়,A,inverse,এখন,indefinite,ছয়,number
29,"এখন ৰেষ্টুৰেণ্টে ছয় প্ৰকাৰৰ পাস্তা পৰিৱেশন কৰে - স্পেগেটি, ফেটুচিন, পেনে, লাচাগনা, ৰাভিওলি, আৰু মেকাৰোনি।",ছয় প্ৰকাৰৰ পাস্তাৰ সকলোবোৰ একেখন ৰেষ্টুৰেণ্টৰ দ্বাৰা পৰিৱেশন কৰা নহয়,ছয় প্ৰকাৰৰ পাস্তাৰ সকলোবোৰ একেখন ৰেষ্টুৰেণ্টৰ দ্বাৰা পৰিৱেশন কৰা হয়,B,inverse,এখন,indefinite,ছয়,number
30,"ৰেল এখন ঠিক চাৰিবাৰ ৰয় - এবাৰ ষ্টেচন এ-ত, এবাৰ ষ্টেচন বি-ত, এবাৰ ষ্টেচন চি-ত, আৰু এবাৰ ষ্টেচন ডি-ত।",মুঠতে এটাতকৈ মাত্ৰ এটা ৰেল আছে,মুঠতে এটাতকৈ অধিক ৰেল আছে,A,surface,এখন,indefinite,ঠিক চাৰিবাৰ,number
30,"ৰেল এখন ঠিক চাৰিবাৰ ৰয় - এবাৰ ষ্টেচন এ-ত, এবাৰ ষ্টেচন বি-ত, এবাৰ ষ্টেচন চি-ত, আৰু এবাৰ ষ্টেচন ডি-ত।",মুঠতে এটাতকৈ অধিক ৰেল আছে,মুঠতে এটাতকৈ মাত্ৰ এটা ৰেল আছে,B,surface,এখন,indefinite,ঠিক চাৰিবাৰ,number
31,"এটা বেণ্ডৰ পাঁচজন সদস্য আছে - ই, এফ, জি, এইচ, আৰু আই।",ঠিক এটা বেণ্ড আছে,মুঠতে এটা বেণ্ড আছে য'ত পাঁচজন সদস্য আছে,B,surface,এটা ,indefinite,পাঁচজন,number
31,"এটা বেণ্ডৰ পাঁচজন সদস্য আছে - ই, এফ, জি, এইচ, আৰু আই।",মুঠতে এটা বেণ্ড আছে য'ত পাঁচজন সদস্য আছে,ঠিক এটা বেণ্ড আছে,A,surface,এটা ,indefinite,পাঁচজন,number
32,"এখন চহৰত ঠিক তিনিখন পুথিভঁৰাল আছে - চেণ্ট্ৰেল লাইব্ৰেৰী, ৱেষ্ট এণ্ড লাইব্ৰেৰী, আৰু ইষ্ট এণ্ড লাইব্ৰেৰী।",তিনিখন পুথিভঁৰাল একেখন চহৰতে আছে,তিনিখন পুথিভঁৰাল একেখন চহৰতে নাই,A,inverse,এখন,indefinite,ঠিক তিনিখন,number
32,"এখন চহৰত ঠিক তিনিখন পুথিভঁৰাল আছে - চেণ্ট্ৰেল লাইব্ৰেৰী, ৱেষ্ট এণ্ড লাইব্ৰেৰী, আৰু ইষ্ট এণ্ড লাইব্ৰেৰী।",তিনিখন পুথিভঁৰাল একেখন চহৰতে নাই,তিনিখন পুথিভঁৰাল একেখন চহৰতে আছে,B,inverse,এখন,indefinite,ঠিক তিনিখন,number
33,"বিদ্যালয়ৰ এজন অধ্যক্ষই চাৰিজন শিক্ষকৰ বাবে সময়সূচী নিৰ্ধাৰণ কৰিছে: ৰাহুল, ৰোনাক, মানশ আৰু এশান।",ৰাহুলৰ সময়সূচী বিভিন্ন বিদ্যালয়ৰ অধ্যক্ষৰ দ্বাৰা নিৰ্ধাৰণ কৰা হৈছে,ৰাহুল আৰু আন তিনিজন শিক্ষকৰ সময়সূচী বিভিন্ন বিদ্যালয়ৰ অধ্যক্ষৰ দ্বাৰা নিৰ্ধাৰণ কৰা হৈছে,B,surface,এখন,indefinite,চাৰিজন,number
33,"বিদ্যালয়ৰ এজন অধ্যক্ষই চাৰিজন শিক্ষকৰ বাবে সময়সূচী নিৰ্ধাৰণ কৰিছে: ৰাহুল, ৰোনাক, মানশ আৰু এশান।",ৰাহুল আৰু আন তিনিজন শিক্ষকৰ সময়সূচী বিভিন্ন বিদ্যালয়ৰ অধ্যক্ষৰ দ্বাৰা নিৰ্ধাৰণ কৰা হৈছে,ৰাহুলৰ সময়সূচী বিভিন্ন বিদ্যালয়ৰ অধ্যক্ষৰ দ্বাৰা নিৰ্ধাৰণ কৰা হৈছে,A,surface,এখন,indefinite,চাৰিজন,number
34,"এখন গেলেৰীত ঠিক সাতখন চিত্ৰ প্ৰদৰ্শন কৰা হয় - পি, কিউ, আৰ, এছ, টি, ইউ, আৰু ভি।",সাতখন চিত্ৰ একেখন গেলেৰীত আছে,সাতখন চিত্ৰ সকলো বোৰ বিভিন্ন গেলেৰীত আছে,A,inverse,এখন,indefinite,ঠিক সাতখন,number
34,"এখন গেলেৰীত ঠিক সাতখন চিত্ৰ প্ৰদৰ্শন কৰা হয় - পি, কিউ, আৰ, এছ, টি, ইউ, আৰু ভি।",সাতখন চিত্ৰ সকলো বোৰ বিভিন্ন গেলেৰীত আছে,সাতখন চিত্ৰ একেখন গেলেৰীত আছে,B,inverse,এখন,indefinite,ঠিক সাতখন,number
